{x: 0, D0y: 0.0, lstY[0]: 150.0, t: 0.0}
{x: 1, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 2, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 3, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 4, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 5, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 6, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 7, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 8, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 9, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 10, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 11, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 12, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 13, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 14, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 15, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 16, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
